WDC-ESZ-S9504-1	10.17.34.112
WDC-ESZ-S9504-2	10.17.34.113
wdc-inet-ctc-asr1001x-1	10.17.42.102
wdc-inet-ctc-asr1001x-2	10.17.42.103
WDC-INT-S93180-1	10.17.42.100
WDC-INT-S93180-2	10.17.42.101
WDC-OFC-CTC-S3850S-1_Stack-1	10.17.119.23
WDC-OOB-CTC-S3850-1	10.17.119.46
WDC-OOB-CTC-S3850-2	10.17.119.47
WDC-PSZ-CTC-S3850S-1	10.17.119.48
WDC-SVC-CTC-S2960X-1	10.17.119.163
WDC-SVC-CTC-S2960X-2	10.17.119.164
WDC-SVC-CTC-S2960X-3	10.17.119.165
WDC-SVC-CTC-S2960X-4	10.17.119.166
WDC-SVC-CTC-S3850-1	10.17.119.11
WDC-SVC-CTC-S4500X-1	10.17.119.9
wdc-temp-camp-core-sw1	10.17.42.129
WDC-ToRC15-s93108-1	10.17.119.195
WDC-ToRC15-s93108-2	10.17.119.196
WDC-ToRC16s93108-1	10.17.119.197
WDC-ToRC16s93108-2	10.17.119.198
WDC-TORC17-S93108-1	10.17.119.62
WDC-TORC17-S93108-2	10.17.119.76
WDC-TORC18-S93108-1	10.17.119.63
WDC-TORC18-S93108-2	10.17.119.77
WDC-TORC19-S93108-1	10.17.119.64
WDC-TORC19-S93108-2	10.17.119.78
WDC-TORC20-S93108-1	10.17.119.65
WDC-TORC20-S93108-2	10.17.119.79
WDC-TORD11-S93108-1	10.17.119.193
WDC-TORD11-S93108-2	10.17.119.194
WDC-TOR-E08-SW-1	10.17.42.20
WDC-TOR-E13-S93180-1	10.17.119.176
WDC-TOR-E13-S93180-2	10.17.119.160
WDC-TOR-E14-S93108-2	10.17.119.177
WDC-TOR-E14-S93180-1	10.17.119.159
WDC-TOR-E15-S93108-1	10.17.119.60
WDC-TOR-E16-SW-1	10.17.42.21
WDC-VBK1-CTC-NX5596-1	10.18.0.10
WDC-VBK1-CTC-NX5596-2	10.18.0.11
WDC-VBK1-CTC-S3560-1	10.18.0.1
WDC-VBK1-CTC-S3560-2	10.18.10.14
WDC-VPN-ASR1001HX-1	10.16.5.1
WDC-WAN-CTC-ASR1006-1	10.16.0.3
WDC-WAN-CTC-ASR1006-2	10.16.0.4
wdc-dr-ctc-s3850s-1	10.17.119.72
WDC-INET-CTC-ASR1001-1	10.17.119.82
WDC-INET-CTC-ASR1001-2	10.17.119.83
mfo-cr-s3850s-1	10.104.33.80
mfo-cr-isr2951-1	10.104.32.5
mfo-cr-isr2951-2	10.104.32.9
mfo-cr-s3850s-1	10.104.161.12
mfo-cr-isr2951-1	10.104.161.5
mfo-cr-isr2951-2	10.104.161.6
ns-cr-isr2951-1	10.112.224.5
well-mww-cr-s2960x-2	10.104.97.76
well-mww-cr-isr2951-1	10.104.96.5
well-mww-cr-isr2951-2	10.104.96.9
pointecl-cr-isr2951-1	10.104.64.5
pointecl-cr-isr2951-2	10.104.64.9
P3CPAJDMZSW001	10.2.42.130
P3CPAJDMZSW002	10.2.42.129
WDC-ACC-MRK-NX5596-1	10.17.119.52
WDC-ACC-MRK-NX5596-2	10.17.119.53
WDCDMZSW001	10.100.248.10
WDCVPNRT01	10.100.248.22
p-3-cp-qp-c100-sw-1.ns.ctc	10.90.1.10
p-3-cp-qp-c200-sw-1.ns.ctc	10.90.1.14
p-3-cp-qp-c200-sw-2-st.ns.ctc	10.90.36.10
p-3-cp-qp-c201-sw-1.ns.ctc	10.90.1.15
p-3-cp-qp-c201-sw-2-st.ns.ctc	10.90.38.10
p-3-cp-qp-c300-sw-1.ns.ctc	10.90.1.16
p-3-cp-qp-c300-sw-2.ns.ctc	10.90.1.17
p-3-cp-qp-c400-sw-1.ns.ctc	10.90.1.18
p-3-cp-qp-c401-sw-1.ns.ctc	10.90.1.19
p-3-cp-qp-core-sw-1.ns.ctc	10.90.1.4
p-3-cp-qp-core-sw-2.ns.ctc	10.90.1.5
p-3-cp-qp-mgmt-sw-1.ns.ctc	10.90.1.100
p-3-cp-qp-mgmt-sw-2.ns.ctc	10.90.1.101
p-3-cp-qp-srvc-sw-1	10.90.1.6
p-3-cp-qp-srvc-sw-2	10.90.1.7
calcabsw1013a	10.1.253.26
FGL-LVL-ISR2951-1	10.104.128.6
lvlcorrt01	10.7.100.5
mdccorrt01	172.30.255.178
mdccorrt02	10.10.255.2
mcocorrt01	10.5.32.1
cdccorrt01	10.5.7.4
cdccorrt02	10.5.7.5
wdccabsw001	10.16.10.92
wdccabsw002	10.16.10.93
wdccabsw003	10.16.10.12
wdccabsw004	10.16.10.13
lvlcorrt02	10.7.100.9
lvlcorrt05	10.7.100.4
bdccorrt01	10.5.60.1
calcabsw1013b	10.1.253.27
calcabsw2010a	10.1.253.28
calcabsw2010b	10.1.253.29
calcorrt04	172.30.255.108
mkmcorrt01	10.5.30.2
mcocorrt02	10.5.32.3
mkmcorrt02	10.5.30.3
mkmcorsw001	10.5.30.11
cdccorsw001	10.5.0.1
cdcusrsw001	10.5.7.10
cdcusrsw002	10.5.7.11
bdcusrsw003	10.5.60.13
bdcusrsw001	10.5.60.11
bdcusrsw002	10.5.60.12
mkmcorsw002	10.5.30.12
mkmusrsw001	10.5.30.21
mdccorsw000	172.27.24.6
cdcusrsw003	10.5.7.12
cdcusrsw004	10.5.7.13
cdcusrsw005	10.5.7.14
cdcusrsw006	10.5.7.15
cdcusrsw007	10.5.7.16
cdcusrsw008	10.5.7.17
cdcusrsw009	10.5.7.18
cdcusrsw010	10.5.7.19
cdcusrsw011	10.5.7.20
lvlcorrt06	10.7.100.8
mcocorsw001	10.5.39.132
mdccorsw001	172.27.24.7
calcorrt05	10.1.255.5
lvlcorsw001	10.7.100.10
cdcusrsw012	10.5.7.21
cdcusrsw013	10.5.7.22
mcousrsw001	10.5.39.134
mcousrsw002	10.5.39.135
mcousrsw003	10.5.39.136
mcousrsw004	10.5.39.137
mcousrsw005	10.5.39.138
cdcusrsw014	10.5.7.23
mdccorsw002	172.27.24.8
mdccorsw003	172.27.24.52
mdcecomsw201	172.27.24.31
mdcecomsw202	172.27.24.30
mdcptlsw001	172.27.24.18
mdcptlsw002	172.27.24.19
mdcptlsw003	172.27.24.20
mdcptlsw004	172.27.24.21
mdcptlsw005	172.27.24.22
lvlmacsw001	10.7.100.31
lvlusrsw001-004	10.7.100.11
lvlusrsw005-008	10.7.100.15
meccorrt01	10.5.40.1
meccorrt02	10.5.40.3
meccorsw001	10.5.47.132
